,i94port_clean,i94_airport_name_clean,i94_state_clean
0,ALC,ALCAN,AK
1,ANC,ANCHORAGE,AK
2,BAR,BAKER AAF - BAKER ISLAND,AK
3,DAC,DALTONS CACHE,AK
4,PIZ,DEW STATION PT LAY DEW,AK
5,DTH,DUTCH HARBOR,AK
6,EGL,EAGLE,AK
7,FRB,FAIRBANKS,AK
8,HOM,HOMER,AK
9,HYD,HYDER,AK
10,JUN,JUNEAU,AK
11,5KE,KETCHIKAN,AK
12,KET,KETCHIKAN,AK
13,MOS,MOSES POINT INTERMEDIATE,AK
14,NIK,NIKISKI,AK
15,NOM,NOM,AK
16,PKC,POKER CREEK,AK
17,ORI,PORT LIONS SPB,AK
18,SKA,SKAGWAY,AK
19,SNP,ST. PAUL ISLAND,AK
20,TKI,TOKEEN,AK
21,WRA,WRANGELL,AK
22,HSV,MADISON COUNTY - HUNTSVILLE,AL
23,MOB,MOBILE,AL
24,LIA,LITTLE ROCK,AR (BPS)
25,ROG,ROGERS ARPT,AR
26,DOU,DOUGLAS,AZ
27,LUK,LUKEVILLE,AZ
28,MAP,MARIPOSA AZ,NaN
29,NAC,NACO,AZ
30,NOG,NOGALES,AZ
31,PHO,PHOENIX,AZ
32,POR,PORTAL,AZ
33,SLU,SAN LUIS,AZ
34,SAS,SASABE,AZ
35,TUC,TUCSON,AZ
36,YUI,YUMA,AZ
37,AND,ANDRADE,CA
38,BUR,BURBANK,CA
39,CAL,CALEXICO,CA
40,CAO,CAMPO,CA
41,FRE,FRESNO,CA
42,ICP,IMPERIAL COUNTY,CA
43,LNB,LONG BEACH,CA
44,LOS,LOS ANGELES,CA
45,BFL,MEADOWS FIELD - BAKERSFIELD,CA
46,OAK,OAKLAND,CA
47,ONT,ONTARIO,CA
48,OTM,OTAY MESA,CA
49,BLT,PACIFIC,NaN
50,PSP,PALM SPRINGS,CA
51,SAC,SACRAMENTO,CA
52,SLS,SALINAS,CA (BPS)
53,SDP,SAN DIEGO,CA
54,SFR,SAN FRANCISCO,CA
55,SNJ,SAN JOSE,CA
56,SLO,SAN LUIS OBISPO,CA
57,SLI,SAN LUIS OBISPO,CA (BPS)
58,SPC,SAN PEDRO,CA
59,SYS,SAN YSIDRO,CA
60,SAA,SANTA ANA,CA
61,STO,STOCKTON,CA (BPS)
62,TEC,TECATE,CA
63,TRV,TRAVIS-AFB,CA
64,APA,ARAPAHOE COUNTY,CO
65,ASE,ASPEN,CO #ARPT
66,COS,COLORADO SPRINGS,CO
67,DEN,DENVER,CO
68,DRO,LA PLATA - DURANGO,CO
69,BDL,BRADLEY INTERNATIONAL,CT
70,BGC,BRIDGEPORT,CT
71,GRT,GROTON,CT
72,HAR,HARTFORD,CT
73,NWH,NEW HAVEN,CT
74,NWL,NEW LONDON,CT
75,TST,NEWINGTON DATA CENTER TEST,CT
76,WAS,WASHINGTON DC,NaN
77,DOV,DOVER AFB,DE
78,DVD,DOVER-AFB,DE
79,WLL,WILMINGTON,DE
80,BOC,BOCAGRANDE,FL
81,SRQ,BRADENTON - SARASOTA,FL
82,CAN,CAPE CANAVERAL,FL
83,DAB,DAYTONA BEACH INTERNATIONAL,FL
84,FRN,FERNANDINA,FL
85,FTL,FORT LAUDERDALE,FL
86,FMY,FORT MYERS,FL
87,FPF,FORT PIERCE,FL
88,HUR,HURLBURT FIELD,FL
89,GNV,J R ALISON MUNI - GAINESVILLE,FL
90,JAC,JACKSONVILLE,FL
91,KEY,KEY WEST,FL
92,LEE,LEESBURG MUNICIPAL AIRPORT,FL
93,MLB,MELBOURNE,FL
94,MIA,MIAMI,FL
95,APF,NAPLES,FL #ARPT
96,OPF,OPA LOCKA,FL
97,ORL,ORLANDO,FL
98,PAN,PANAMA CITY,FL
99,PEN,PENSACOLA,FL
100,PCF,PORT CANAVERAL,FL
101,PEV,PORT EVERGLADES,FL
102,PSJ,PORT ST JOE,FL
103,SFB,SANFORD,FL
104,SGJ,ST AUGUSTINE ARPT,FL
105,SAU,ST AUGUSTINE,FL
106,FPR,ST LUCIE COUNTY,FL
107,SPE,ST PETERSBURG,FL
108,TAM,TAMPA,FL
109,WPB,WEST PALM BEACH,FL
110,ATL,ATLANTA,GA
111,BRU,BRUNSWICK,GA
112,AGS,BUSH FIELD - AUGUSTA,GA
113,SAV,SAVANNAH,GA
114,AGA,AGANA,GU
115,HHW,HONOLULU,HI
116,OGG,KAHULUI - MAUI,HI
117,KOA,KEAHOLE-KONA,HI
118,LIH,LIHUE,HI
119,CID,CEDAR RAPIDS/IOWA CITY,IA
120,DSM,DES MOINES,IA
121,BOI,AIR TERM. (GOWEN FLD) BOISE,ID
122,EPI,EASTPORT,ID
123,IDA,FANNING FIELD - IDAHO FALLS,ID
124,PTL,PORTHILL,ID
125,SPI,CAPITAL - SPRINGFIELD,IL
126,CHI,CHICAGO,IL
127,DPA,DUPAGE COUNTY,IL
128,PIA,GREATER PEORIA,IL
129,RFD,GREATER ROCKFORD,IL
130,UGN,MEMORIAL - WAUKEGAN,IL
131,GAR,GARY,IN
132,HMM,HAMMOND,IN
133,INP,INDIANAPOLIS,IN
134,MRL,MERRILLVILLE,IN
135,SBN,SOUTH BEND,IN
136,ICT,MID-CONTINENT - WITCHITA,KS
137,LEX,BLUE GRASS - LEXINGTON,KY
138,LOU,LOUISVILLE,KY
139,BTN,BATON ROUGE,LA
140,LKC,LAKE CHARLES,LA
141,LAK,LAKE CHARLES,LA (BPS)
142,MLU,MONROE,LA
143,MGC,MORGAN CITY,LA
144,NOL,NEW ORLEANS,LA
145,BOS,BOSTON,MA
146,GLO,GLOUCESTER,MA
147,BED,HANSCOM FIELD - BEDFORD,MA
148,LYN,LYNDEN,WA
149,ADW,ANDREWS AFB,MD
150,BAL,BALTIMORE,MD
151,MKG,MUSKEGON,MD
152,PAX,PATUXENT RIVER,MD
153,BGM,BANGOR,ME
154,BOO,BOOTHBAY HARBOR,ME
155,BWM,BRIDGEWATER,ME
156,BCK,BUCKPORT,ME
157,CLS,CALAIS,ME
158,CRB,CARIBOU,ME
159,COB,COBURN GORE,ME
160,EST,EASTCOURT,ME
161,EPT,EASTPORT MUNICIPAL,ME
162,EPM,EASTPORT,ME
163,FOR,FOREST CITY,ME
164,FTF,FORT FAIRFIELD,ME
165,FTK,FORT KENT,ME
166,HML,HAMIIN,ME
167,HTM,HOULTON,ME
168,JKM,JACKMAN,ME
169,KAL,KALISPEL,MT
170,LIM,LIMESTONE,ME
171,LUB,LUBEC,ME
172,MAD,MADAWASKA,ME
173,POM,PORTLAND,ME
174,RGM,RANGELEY,ME (BPS)
175,SBR,SOUTH BREWER,ME
176,SRL,ST AURELIE,ME
177,SPA,ST PAMPILE,ME
178,VNB,VAN BUREN,ME
179,VCB,VANCEBORO,ME
180,AGN,ALGONAC,MI
181,ALP,ALPENA,MI
182,BCY,BAY CITY,MI
183,DET,DETROIT,MI
184,GRP,GRAND RAPIDS,MI
185,GRO,GROSSE ISLE,MI
186,ISL,ISLE ROYALE,MI
187,MRC,MARINE CITY,MI
188,MRY,MARYSVILLE,MI
189,PTK,OAKLAND COUNTY - PONTIAC,MI
190,PHU,PORT HURON,MI
191,RBT,ROBERTS LANDING,MI
192,SAG,SAGINAW,MI
193,SSM,SAULT STE. MARIE,MI
194,SCL,ST CLAIR,MI
195,YIP,WILLOW RUN - YPSILANTI,MI
196,BAU,BAUDETTE,MN
197,CAR,CARIBOU MUNICIPAL AIRPORT,MN
198,GTF,Collapsed into INT,MN
199,INL,Collapsed into INT,MN
200,CRA,CRANE LAKE,MN
201,MIC,CRYSTAL MUNICIPAL AIRPORT,MN
202,DUL,DULUTH,MN
203,ELY,ELY,MN
204,GPM,GRAND PORTAGE,MN
205,SVC,GRANT COUNTY - SILVER CITY,MN
206,INT,INTL FALLS,MN
207,LAN,LANCASTER,MN
208,MSP,MINN./ST PAUL,MN
209,LIN,NORTHERN SVC CENTER,MN
210,NOY,NOYES,MN
211,PIN,PINE CREEK,MN
212,48Y,PINECREEK BORDER ARPT,MN
213,RAN,RAINER,MN
214,RST,ROCHESTER,MN
215,ROS,ROSEAU,MN
216,SPM,ST PAUL,MN
217,WSB,WARROAD INTL,NaN
218,WAR,WARROAD,MN
219,KAN,KANSAS CITY,MO
220,SGF,SPRINGFIELD-BRANSON,MO
221,STL,ST LOUIS,MO
222,WHI,WHITETAIL,MT
223,WHM,WILD HORSE,MT
224,GPT,BILOXI REGIONAL,MS
225,GTR,GOLDEN TRIANGLE LOWNDES CNTY,MS
226,GUL,GULFPORT,MS
227,PAS,PASCAGOULA,MS
228,JAN,THOMPSON FIELD - JACKSON,MS
229,BIL,BILLINGS,MT
230,BTM,BUTTE,MT
231,CHF,CHIEF MT,MT
232,CTB,CUT BANK MUNICIPAL,MT
233,CUT,CUT BANK,MT
234,DLB,DEL BONITA,MT
235,EUR,EUREKA,MT (BPS)
236,BZN,GALLATIN FIELD - BOZEMAN,MT
237,FCA,GLACIER NATIONAL PARK,MT
238,GGW,GLASGOW,MT
239,GRE,GREAT FALLS,MT
240,HVR,HAVRE,MT
241,HEL,HELENA,MT
242,LWT,LEWISTON,MT
243,MGM,MORGAN,MT
244,OPH,OPHEIM,MT
245,PIE,PIEGAN,MT
246,RAY,RAYMOND,MT
247,ROO,ROOSVILLE,MT
248,SCO,SCOBEY,MT
249,SWE,SWEETGTASS,MT
250,TRL,TRIAL CREEK,MT
251,TUR,TURNER,MT
252,WCM,WILLOW CREEK,MT
253,CLT,CHARLOTTE,NC
254,FAY,FAYETTEVILLE,NC
255,MRH,MOREHEAD CITY,NC
256,FOP,MORRIS FIELDS AAF,NC
257,GSO,PIEDMONT TRIAD INTL AIRPORT,NC
258,RDU,RALEIGH/DURHAM,NC
259,SSC,SHAW AFB - SUMTER,NC
260,WIL,WILMINGTON,NC
261,AMB,AMBROSE,ND
262,ANT,ANTLER,ND
263,CRY,CARBURY,ND
264,DNS,DUNSEITH,ND
265,FAR,FARGO,ND
266,FRT,FORTUNA,ND
267,GRF,GRAND FORKS,ND
268,HNN,HANNAH,ND
269,HNS,HANSBORO,ND
270,MAI,MAIDA,ND
271,MND,MINOT,ND
272,NEC,NECHE,ND
273,NOO,NOONAN,ND
274,NRG,NORTHGATE,ND
275,PEM,PEMBINA,ND
276,SAR,SARLES,ND
277,SHR,SHERWOOD,ND
278,SJO,ST JOHN,ND
279,WAL,WALHALLA,ND
280,WHO,WESTHOPE,ND
281,WND,WILLISTON,ND
282,OMA,OMAHA,NE
283,LEB,LEBANON,NH
284,MHT,MANCHESTER,NH
285,PNH,PITTSBURG,NH
286,PSM,PORTSMOUTH,NH
287,BYO,BAYONNE,NJ
288,CNJ,CAMDEN,NJ
289,HOB,HOBOKEN,NJ
290,JER,JERSEY CITY,NJ
291,WRI,MC GUIRE AFB - WRIGHTSOWN,NJ
292,MMU,MORRISTOWN,NJ
293,NEW,NEWARK/TETERBORO,NJ
294,PER,PERTH AMBOY,NJ
295,ACY,POMONA FIELD - ATLANTIC CITY,NJ
296,ALA,ALAMAGORDO,NM (BPS)
297,ABQ,ALBUQUERQUE,NM
298,ANP,ANTELOPE WELLS,NM
299,CRL,CARLSBAD,NM
300,COL,COLUMBUS,NM
301,CDD,CRANE LAKE - ST. LOUIS CNTY,NM
302,DNM,DEMING,NM (BPS)
303,LAS,LAS CRUCES,NM
304,LOB,LORDSBURG,NM (BPS)
305,RUI,RUIDOSO,NM
306,STR,SANTA TERESA,NM
307,RNO,CANNON INTL - RENO/TAHOE,NV
308,FLX,FALLON MUNICIPAL AIRPORT,NV
309,LVG,LAS VEGAS,NV
310,REN,RENO,NV
311,ALB,ALBANY,NY
312,AXB,ALEXANDRIA BAY,NY
313,BUF,BUFFALO,NY
314,CNH,CANNON CORNERS,NY
315,CAP,CAPE VINCENT,NY
316,CHM,CHAMPLAIN,NY
317,CHT,CHATEAUGAY,NY
318,CLA,CLAYTON,NY
319,FTC,FORT COVINGTON,NY
320,LAG,LA GUARDIA,NY
321,LEW,LEWISTON,NY
322,MAS,MASSENA,NY
323,MAG,MCGUIRE AFB,NY
324,MOO,MOORES,NY
325,MRR,MORRISTOWN,NY
326,NYC,NEW YORK,NY
327,NIA,NIAGARA FALLS,NY
328,OGD,OGDENSBURG,NY
329,OSW,OSWEGO,NY
330,ELM,REGIONAL ARPT - HORSEHEAD,NY
331,ROC,ROCHESTER,NY
332,ROU,ROUSES POINT,NY
333,SWF,STEWART - ORANGE CNTY,NY
334,SYR,SYRACUSE,NY
335,THO,THOUSAND ISLAND BRIDGE,NY
336,TRO,TROUT RIVER,NY
337,WAT,WATERTOWN,NY
338,HPN,WESTCHESTER - WHITE PLAINS,NY
339,WRB,WHIRLPOOL BRIDGE,NY
340,YOU,YOUNGSTOWN,NY
341,AKR,AKRON,OH
342,ATB,ASHTABULA,OH
343,CIN,CINCINNATI,OH
344,CLE,CLEVELAND,OH
345,CLM,COLUMBUS,OH
346,LOR,LORAIN,OH
347,MBO,MARBLE HEADS,OH
348,SDY,SANDUSKY,OH
349,TOL,TOLEDO,OH
350,OKC,OKLAHOMA CITY,OK
351,TUL,TULSA,OK
352,AST,ASTORIA,OR
353,COO,COOS BAY,OR
354,HIO,HILLSBORO,OR
355,MED,MEDFORD,OR
356,NPT,NEWPORT,OR
357,POO,PORTLAND,OR
358,PUT,PUT-IN-BAY,OH
359,RDM,ROBERTS FIELDS - REDMOND,OR
360,ERI,ERIE,PA
361,MDT,HARRISBURG,PA
362,HSB,HARRISONBURG,PA
363,PHI,PHILADELPHIA,PA
364,PIT,PITTSBURG,PA
365,AGU,AGUADILLA,PR
366,BQN,BORINQUEN - AGUADILLO,PR
367,JCP,CULEBRA - BENJAMIN RIVERA,PR
368,ENS,ENSENADA,PR
369,FAJ,FAJARDO,PR
370,HUM,HUMACAO,PR
371,JOB,JOBOS,PR
372,MAY,MAYAGUEZ,PR
373,PON,PONCE,PR
374,PSE,PONCE-MERCEDITA,PR
375,SAJ,SAN JUAN,PR
376,VQS,VIEQUES-ARPT,PR
377,PRO,PROVIDENCE,RI
378,PVD,THEODORE FRANCIS - WARWICK,RI
379,CHL,CHARLESTON,SC
380,CAE,COLUMBIA,SC #ARPT
381,GEO,GEORGETOWN,SC
382,GSP,GREENVILLE,SC
383,GRR,GREER,SC
384,MYR,MYRTLE BEACH,SC
385,SPF,BLACK HILLS,NaN
386,HON,HOWES REGIONAL ARPT - HURON,SD
387,SAI,SAIPAN,SPN
388,TYS,MC GHEE TYSON - ALCOA,TN
389,MEM,MEMPHIS,TN
390,NSV,NASHVILLE,TN
391,TRI,TRI CITY ARPT,TN
392,ADS,ADDISON AIRPORT- ADDISON,TX
393,ADT,AMISTAD DAM,TX
394,ANZ,ANZALDUAS,TX
395,AUS,AUSTIN,TX
396,BEA,BEAUMONT,TX
397,BBP,BIG BEND PARK,TX (BPS)
398,SCC,BP SPEC COORD. CTR,TX
399,BTC,BP TACTICAL UNIT,TX
400,BOA,BRIDGE OF AMERICAS,TX
401,BRO,BROWNSVILLE,TX
402,CRP,CORPUS CHRISTI,TX
403,DAL,DALLAS,TX
404,DLR,DEL RIO,TX
405,DNA,DONNA,TX
406,EGP,EAGLE PASS,TX
407,ELP,EL PASO,TX
408,FAB,FABENS,TX
409,FAL,FALCON HEIGHTS,TX
410,FTH,FORT HANCOCK,TX
411,AFW,FORT WORTH ALLIANCE,TX
412,FPT,FREEPORT,TX
413,GAL,GALVESTON,TX
414,HLG,HARLINGEN,TX
415,HID,HIDALGO,TX
416,HOU,HOUSTON,TX
417,SGR,HULL FIELD,NaN
418,LLB,JUAREZ-LINCOLN BRIDGE,TX
419,LCB,LAREDO COLUMBIA BRIDGE,TX
420,LRN,LAREDO NORTH,TX
421,LAR,LAREDO,TX
422,LSE,LOS EBANOS,TX
423,IND,LOS INDIOS,TX
424,LOI,LOS INDIOS,TX
425,MRS,MARFA,TX (BPS)
426,MCA,MCALLEN,TX
427,MAF,ODESSA REGIONAL,TX
428,PDN,PASO DEL NORTE,TX
429,PBB,PEACE BRIDGE,NY
430,PHR,PHARR,TX
431,PAR,PORT ARTHUR,TX
432,ISB,PORT ISABEL,TX
433,POE,PORT OF EL PASO,TX
434,PRE,PRESIDIO,TX
435,PGR,PROGRESO,TX
436,RIO,RIO GRANDE CITY,TX
437,ROM,ROMA,TX
438,SNA,SAN ANTONIO,TX
439,SNN,SANDERSON,TX
440,VIB,VETERAN INTL BRIDGE,TX
441,YSL,YSLETA,TX
442,CHA,CHARLOTTE AMALIE,VI
443,CHR,CHRISTIANSTED,VI
444,CRU,CRUZ BAY,NaN
445,FRK,FREDERIKSTED,VI
446,STT,ST THOMAS,VI
447,LGU,CACHE AIRPORT - LOGAN,UT
448,SLC,SALT LAKE CITY,UT
449,CHO,ALBEMARLE CHARLOTTESVILLE,VA
450,DAA,DAVISON AAF - FAIRFAX CNTY,VA
451,HOP,HOPEWELL,VA
452,HEF,MANASSAS,VA #ARPT
453,NWN,NEWPORT,VA
454,NOR,NORFOLK,VA
455,RCM,RICHMOND,VA
456,ABS,ALBURG SPRINGS,VT
457,ABG,ALBURG,VT
458,BEB,BEEBE PLAIN,VT
459,BEE,BEECHER FALLS,VT
460,BRG,BURLINGTON,VT
461,CNA,CANAAN,VT
462,DER,DERBY LINE,VT (I-91)
463,DLV,DERBY LINE,VT (RT. 5)
464,ERC,EAST RICHFORD,VT
465,HIG,HIGHGATE SPRINGS,VT
466,MOR,MORSES LINE,VT
467,NPV,NEWPORT,VT
468,NRT,NORTH TROY,VT
469,NRN,NORTON,VT
470,PIV,PINNACLE ROAD,VT
471,RIF,RICHFORT,VT
472,STA,ST ALBANS,VT
473,SWB,SWANTON,VT (BP - SECTOR HQ)
474,WBE,WEST BERKSHIRE,VT
475,ABE,ABERDEEN,WA
476,ANA,ANACORTES,WA
477,BEL,BELLINGHAM,WA
478,BLI,BELLINGHAM,WASHINGTON #INTL
479,BLA,BLAINE,WA
480,BWA,BOUNDARY,WA
481,CUR,CURLEW,WA (BPS)
482,DVL,DANVILLE,WA
483,EVE,EVERETT,WA
484,FER,FERRY,WA
485,FRI,FRIDAY HARBOR,WA
486,FWA,FRONTIER,WA
487,KLM,KALAMA,WA
488,LAU,LAURIER,WA
489,LON,LONGVIEW,WA
490,MET,METALINE FALLS,WA
491,MWH,MOSES LAKE GRANT COUNTY ARPT,WA
492,NEA,NEAH BAY,WA
493,NIG,NIGHTHAWK,WA
494,OLY,OLYMPIA,WA
495,ORO,OROVILLE,WA
496,PWB,PASCO,WA
497,PIR,POINT ROBERTS,WA
498,PNG,PORT ANGELES,WA
499,PTO,PORT TOWNSEND,WA
500,SEA,SEATTLE,WA
501,SPO,SPOKANE,WA
502,SUM,SUMAS,WA
503,TAC,TACOMA,WA
504,PSC,TRI-CITIES - PASCO,WA
505,VAN,VANCOUVER,WA
506,AGM,ALGOMA,WI
507,BAY,BAYFIELD,WI
508,GRB,GREEN BAY,WI
509,MNW,MANITOWOC,WI
510,MIL,MILWAUKEE,WI
511,MSN,TRUAX FIELD - DANE COUNTY,WI
512,CHS,CHARLESTON,WV
513,CLK,CLARKSBURG,WV
514,BLF,MERCER COUNTY,WV
515,CSP,CASPER,WY
516,XXX,NOT REPORTED/UNKNOWN,NaN
517,888,UNIDENTIFED AIR / SEAPORT,NaN
518,UNK,UNKNOWN POE,NaN
519,CLG,CALGARY,CANADA
520,EDA,EDMONTON,CANADA
521,YHC,HAKAI PASS,CANADA
522,HAL,Halifax,NaN
523,MON,MONTREAL,CANADA
524,OTT,OTTAWA,CANADA
525,YXE,SASKATOON,CANADA
526,TOR,TORONTO,CANADA
527,VCV,VANCOUVER,CANADA
528,VIC,VICTORIA,CANADA
529,WIN,WINNIPEG,CANADA
530,AMS,AMSTERDAM-SCHIPHOL,NETHERLANDS
531,ARB,ARUBA,NETH ANTILLES
532,BAN,BANKOK,THAILAND
533,BEI,BEICA #ARPT,ETHIOPIA
534,PEK,BEIJING CAPITAL INTL,PRC
535,BDA,KINDLEY FIELD,BERMUDA
536,BOG,BOGOTA,NaN
537,EZE,BUENOS AIRES,NaN
538,CUN,CANCUN,MEXICO
539,CRQ,CARAVELAS,NaN
540,MVD,CARRASCO,URUGUAY
541,DUB,DUBLIN,IRELAND
542,FOU,FOUGAMOU #ARPT,GABON
543,FBA,FREEPORT,BAHAMAS
544,MTY,GEN M. ESCOBEDO,NaN
545,HMO,GEN PESQUEIRA GARCIA,MX
546,GCM,GRAND CAYMAN,CAYMAN ISLAND
547,GDL,GUADALAJARA,NaN
548,HAM,HAMILTON,BERMUDA
549,ICN,INCHON,SEOUL KOREA
550,IWA,INVALID - IWAKUNI,JAPAN
551,CND,KOGALNICEANU,ROMANIA
552,LAH,LABUHA ARPT,INDONESIA
553,DUR,LOUIS BOTHA,SOUTH AFRICA
554,MAL,MANGOLE ARPT,INDONESIA
555,MDE,MEDELLIN,COLOMBIA
556,MEX,JUAREZ INTL,NaN
557,LHR,MIDDLESEX,ENGLAND
558,NBO,NAIROBI,KENYA
559,NAS,NASSAU,BAHAMAS
560,NCA,NORTH CAICOS,TURK & CAIMAN
561,PTY,OMAR TORRIJOS,PANAMA
562,SPV,PAPUA,NEW GUINEA
563,UIO,QUITO (MARISCAL SUCR),ECUADOR
564,RIT,ROME,ITALY
565,SNO,SAKON NAKHON #ARPT,THAILAND
566,SLP,SAN LUIS POTOSI #ARPT,MEXICO
567,SAN,SAN SALVADOR,EL SALVADOR
568,SRO,SANTANA RAMOS #ARPT,COLOMBIA
569,GRU,GUARULHOS INTL,NaN
570,SHA,SHANNON,IRELAND
571,HIL,SHILLAVO,ETHIOPIA
572,TOK,TOROKINA #ARPT,NaN
573,VER,VERACRUZ,MEXICO
574,LGW,WEST SUSSEX,ENGLAND
575,ZZZ,MEXICO Land (Banco de Mexico),NaN
576,CHN,No PORT Code (CHN),NaN
577,CNC,CANNON CORNERS,NY
578,MAA,Abu Dhabi,NaN
579,AG0,MAGNOLIA,AR
580,BHM,BAR HARBOR,ME
581,BHX,BIRMINGHAM,AL
582,CAK,AKRON,OH
583,FOK,SUFFOLK COUNTY,NY
584,LND,LANDER,WY
585,MAR,MARFA,TX
586,MLI,MOLINE,IL
587,RIV,RIVERSIDE,CA
588,RME,ROME,NY
589,VNY,VAN NUYS,CA
590,YUM,YUMA,AZ
591,FRG,Collapsed (FOK) 06/15,NaN
592,HRL,Collapsed (HLG) 06/15,NaN
593,ISP,Collapsed (FOK) 06/15,NaN
594,JSJ,Collapsed (SAJ) 06/15,NaN
595,BUS,Collapsed (BUF) 06/15,NaN
596,IAG,Collapsed (NIA) 06/15,NaN
597,PHN,Collapsed (PHU) 06/15,NaN
598,STN,Collapsed (STR) 06/15,NaN
599,VMB,Collapsed (VNB) 06/15,NaN
600,T01,Collapsed (SEA) 06/15,NaN
601,PHF,No PORT Code (PHF),NaN
602,DRV,No PORT Code (DRV),NaN
603,FTB,No PORT Code (FTB),NaN
604,GAC,No PORT Code (GAC),NaN
605,GMT,No PORT Code (GMT),NaN
606,JFA,No PORT Code (JFA),NaN
607,JMZ,No PORT Code (JMZ),NaN
608,NC8,No PORT Code (NC8),NaN
609,NYL,No PORT Code (NYL),NaN
610,OAI,No PORT Code (OAI),NaN
611,PCW,No PORT Code (PCW),NaN
612,WA5,No PORT Code (WAS),NaN
613,WTR,No PORT Code (WTR),NaN
614,X96,No PORT Code (X96),NaN
615,XNA,No PORT Code (XNA),NaN
616,YGF,No PORT Code (YGF),NaN
617,5T6,No PORT Code (5T6),NaN
618,060,No PORT Code (60),NaN
619,SP0,No PORT Code (SP0),NaN
620,W55,No PORT Code (W55),NaN
621,X44,No PORT Code (X44),NaN
622,AUH,No PORT Code (AUH),NaN
623,RYY,No PORT Code (RYY),NaN
624,SUS,No PORT Code (SUS),NaN
625,74S,No PORT Code (74S),NaN
626,ATW,No PORT Code (ATW),NaN
627,CPX,No PORT Code (CPX),NaN
628,MTH,No PORT Code (MTH),NaN
629,PFN,No PORT Code (PFN),NaN
630,SCH,No PORT Code (SCH),NaN
631,ASI,No PORT Code (ASI),NaN
632,BKF,No PORT Code (BKF),NaN
633,DAY,No PORT Code (DAY),NaN
634,Y62,No PORT Code (Y62),NaN
635,AG,No PORT Code (AG),NaN
636,BCM,No PORT Code (BCM),NaN
637,DEC,No PORT Code (DEC),NaN
638,PLB,No PORT Code (PLB),NaN
639,CXO,No PORT Code (CXO),NaN
640,JBQ,No PORT Code (JBQ),NaN
641,JIG,No PORT Code (JIG),NaN
642,OGS,No PORT Code (OGS),NaN
643,TIW,No PORT Code (TIW),NaN
644,OTS,No PORT Code (OTS),NaN
645,AMT,No PORT Code (AMT),NaN
646,EGE,No PORT Code (EGE),NaN
647,GPI,No PORT Code (GPI),NaN
648,NGL,No PORT Code (NGL),NaN
649,OLM,No PORT Code (OLM),NaN
650,.GA,No PORT Code (.GA),NaN
651,CLX,No PORT Code (CLX),NaN
652,CP,No PORT Code (CP),NaN
653,FSC,No PORT Code (FSC),NaN
654,NK,No PORT Code (NK),NaN
655,ADU,No PORT Code (ADU),NaN
656,AKT,No PORT Code (AKT),NaN
657,LIT,No PORT Code (LIT),NaN
658,A2A,No PORT Code (A2A),NaN
659,OSN,No PORT Code (OSN),NaN
